EPISODE,AIR,RELEASE,CHANNEL,TL,TLC,ENC,ED,TM,TS,QC,TAG,NYAA,NAME,SEASON
1,02/13/2015 @ 22:30 JST,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
2,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
3,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
4,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
5,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
6,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
7,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
8,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
9,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
10,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
11,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
12,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
13,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
14,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
15,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
16,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
17,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
18,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
19,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015
20,,,CR,Crunchyroll,shinchan,begna112,"begna112, Period",Owningmatt93,itsP,begna112,,https://nyaa.si/?f=0&c=0_0&q=shinryounaika+DameDesuYo,Anime de Wakaru Shinryounaika,Spring 2015